"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","day","temp","visib","wdsp","prcp","fog","collisons"
"144",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,5,46.5,10,4.2,0,0,1.6823770789377
"145",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,6,47.3,10,3.4,0,0,-1.91699014571952
"146",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,7,48.3,8.9,3.4,0,1,-0.772273356238375
"147",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,2,44.1,9.5,7.6,0.01,1,-1.04370104858958
"148",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,1,36.6,10,7.1,0,0,-1.55115282124617
"149",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,3,40.3,10,4.9,0,0,0.19542537301373
"150",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,4,38.7,7,4.4,0,0,0.431449453319122
"151",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,5,37.5,9.3,7.1,0.59,0,-0.406436031765018
"152",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,6,37.5,9.7,5.8,0.01,0,-0.37103241971921
"153",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,7,41.3,9.3,4.7,0,0,0.348841025212235
"154",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,2,38.5,9.3,9.2,0,0,-0.784074560253645
"155",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,1,44.3,3.9,3,0.08,1,-1.07910466063538
"156",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,3,53.5,7,3.9,0.04,0,0.879895205899366
"157",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,4,51.9,5.6,2.9,0.04,1,0.879895205899366
"158",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,5,52.6,9.1,6.3,0.01,0,-0.382833623734479
"159",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,6,35,10,3.6,0.01,0,0.868094001884096
"160",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,7,38.8,7.9,1.9,0,0,1.97740717931944
"161",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,2,47.3,3.7,3.5,0.32,1,0.396045841273313
"162",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,1,46.2,7.2,5.4,0.25,0,-0.0287975032763918
"163",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,3,50.3,2.8,5.7,0.35,1,0.856292797868827
"164",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,4,50.1,7.3,6,0.23,1,0.372443433242774
"165",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,5,40.1,10,3.3,0.01,0,0.0420097208152257
"166",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,6,40.3,10,1.7,0,0,-0.0169962992611222
"167",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,7,41.4,10,4.1,0,0,1.19852771431164
"168",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,2,42.6,9.9,2.8,0,0,-0.276622787597053
"169",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,1,44.5,7.5,6.5,0,0,-0.548050479948253
"170",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,3,42,5.6,9.5,0.44,0,1.21032891832691
"171",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,4,47.3,5.3,7,0.34,0,1.16312410226584
"172",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,5,44,10,9.3,0.07,0,0.514057881426009
"173",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,6,39.8,10,8.5,0.02,0,0.702877145670322
"174",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,7,47.3,7.1,9.4,0.56,0,2.41405172788441
"175",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,2,37.4,10,10.6,0.7,0,-0.052399911306931
"176",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,1,37.8,10,7.6,0.01,0,-1.63376124935305
"177",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,3,37,10,3,0,0,-0.335628807673401
"178",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,4,37.5,6.8,4.8,0.01,0,-2.27102626617761
"179",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,5,32.2,8.8,9.5,0.13,1,-0.182213155474896
"180",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,6,39.1,6,12.4,0.84,1,-0.253020379566514
"181",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,7,33,9.4,10,0.37,0,0.124618148922113
"182",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,2,32.5,7.8,5.3,0,1,-1.23252031283389
"183",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,1,32.4,8.8,11.9,1.9,0,-1.59835763730725
"184",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,3,31.5,10,6.8,0,0,-0.760472152223106
"185",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,4,37.8,10,6.1,0,0,-2.23266559553446
"186",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,5,27.1,10,5.3,0,0,-0.97925034085827
"187",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,6,28.4,10,3.7,0,0,-0.10565789062941
"188",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,7,33.4,10,6.5,0,0,-0.662731337152161
"189",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,2,36.1,10,6.6,0,0,-2.13137951434851
"190",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,1,38.3,8.5,5.3,0,0,-2.08073647375553
"191",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,3,40.9,10,5.7,0,0,-0.460159174780251
"192",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,4,40.7,9.3,5.1,0,0,-0.561445255966206
